Merged Data for Selected Target Ranges

Target Range: 108.57 nm
Trial 112 - Backward: Error: -5.43 nm, Time: 0.32 sec
Trial 113 - Forward: Error: 54.40 nm, Time: 0.31 sec
Trial 113 - Backward: Error: 9.42 nm, Time: 0.31 sec
Trial 114 - Forward: Error: 54.13 nm, Time: 0.36 sec
Trial 114 - Backward: Error: -30.76 nm, Time: 0.27 sec
Trial 115 - Forward: Error: 52.97 nm, Time: 0.31 sec
Trial 115 - Backward: Error: 37.63 nm, Time: 0.38 sec
Trial 116 - Forward: Error: -11.03 nm, Time: 0.21 sec
Trial 116 - Backward: Error: -22.00 nm, Time: 0.37 sec
Trial 117 - Forward: Error: 9.59 nm, Time: 0.35 sec
Trial 117 - Backward: Error: -7.17 nm, Time: 0.23 sec
Trial 118 - Forward: Error: 35.43 nm, Time: 0.32 sec
Trial 118 - Backward: Error: -16.68 nm, Time: 0.33 sec
Trial 119 - Forward: Error: 14.14 nm, Time: 0.27 sec
Trial 119 - Backward: Error: 22.07 nm, Time: 0.31 sec
Trial 120 - Forward: Error: -4.57 nm, Time: 0.33 sec
Trial 120 - Backward: Error: 117.37 nm, Time: 0.27 sec
Trial 121 - Forward: Error: 37.73 nm, Time: 0.87 sec
Trial 121 - Backward: Error: -12.49 nm, Time: 0.91 sec
Trial 122 - Forward: Error: -12.66 nm, Time: 0.93 sec
Trial 122 - Backward: Error: -28.82 nm, Time: 0.94 sec
Trial 123 - Forward: Error: -4.17 nm, Time: 0.93 sec
Trial 123 - Backward: Error: 6.23 nm, Time: 1.02 sec
Trial 124 - Forward: Error: -79.55 nm, Time: 0.84 sec
Trial 124 - Backward: Error: 3.69 nm, Time: 0.90 sec
Trial 125 - Forward: Error: -42.10 nm, Time: 0.93 sec
Trial 125 - Backward: Error: 47.99 nm, Time: 0.96 sec
Trial 126 - Forward: Error: 43.04 nm, Time: 0.91 sec
Trial 126 - Backward: Error: 24.06 nm, Time: 0.92 sec
Trial 127 - Forward: Error: -7.52 nm, Time: 0.98 sec
Trial 127 - Backward: Error: -8.12 nm, Time: 1.18 sec
Trial 128 - Forward: Error: 71.06 nm, Time: 0.90 sec
Trial 128 - Backward: Error: -9.56 nm, Time: 0.92 sec
Trial 129 - Forward: Error: -24.96 nm, Time: 0.94 sec
Trial 129 - Backward: Error: -8.37 nm, Time: 1.07 sec
Trial 130 - Forward: Error: -32.23 nm, Time: 0.81 sec
Trial 130 - Backward: Error: 38.24 nm, Time: 0.88 sec
Trial 131 - Forward: Error: -30.79 nm, Time: 0.92 sec
Trial 131 - Backward: Error: -26.23 nm, Time: 0.74 sec
Trial 132 - Forward: Error: -21.55 nm, Time: 0.84 sec
Trial 132 - Backward: Error: 46.25 nm, Time: 0.93 sec
Trial 133 - Forward: Error: 9.02 nm, Time: 0.93 sec
Trial 133 - Backward: Error: -10.60 nm, Time: 0.94 sec
Trial 134 - Forward: Error: -33.93 nm, Time: 0.95 sec
Trial 134 - Backward: Error: 39.17 nm, Time: 0.89 sec
Trial 135 - Forward: Error: 29.46 nm, Time: 0.93 sec
Trial 135 - Backward: Error: -10.03 nm, Time: 1.00 sec
Trial 136 - Forward: Error: 6.46 nm, Time: 0.83 sec
Trial 136 - Backward: Error: 52.51 nm, Time: 0.92 sec
Trial 137 - Forward: Error: -38.59 nm, Time: 0.93 sec
Trial 137 - Backward: Error: 13.07 nm, Time: 0.92 sec
Trial 138 - Forward: Error: -18.56 nm, Time: 0.93 sec
Trial 138 - Backward: Error: 8.79 nm, Time: 0.91 sec
Trial 139 - Forward: Error: -11.67 nm, Time: 0.90 sec
Trial 139 - Backward: Error: 82.68 nm, Time: 1.02 sec
Trial 140 - Forward: Error: -47.13 nm, Time: 0.88 sec
Trial 140 - Backward: Error: 34.77 nm, Time: 0.88 sec
Trial 141 - Forward: Error: -2.38 nm, Time: 0.93 sec
Trial 141 - Backward: Error: 14.69 nm, Time: 0.92 sec
Trial 142 - Forward: Error: 33.57 nm, Time: 0.98 sec
Trial 142 - Backward: Error: -14.81 nm, Time: 0.86 sec
Trial 143 - Forward: Error: -4.11 nm, Time: 0.93 sec
Trial 143 - Backward: Error: 33.18 nm, Time: 0.94 sec
Trial 144 - Forward: Error: 121.57 nm, Time: 1.04 sec
Trial 144 - Backward: Error: 50.36 nm, Time: 0.85 sec
Trial 145 - Forward: Error: 2.41 nm, Time: 0.89 sec
Trial 145 - Backward: Error: -63.40 nm, Time: 0.89 sec
Trial 146 - Forward: Error: 44.99 nm, Time: 0.94 sec
Trial 146 - Backward: Error: 31.04 nm, Time: 0.94 sec
Trial 147 - Forward: Error: -65.20 nm, Time: 0.90 sec
Trial 147 - Backward: Error: -55.48 nm, Time: 0.89 sec
Trial 148 - Forward: Error: 3.53 nm, Time: 0.93 sec
Trial 148 - Backward: Error: 0.10 nm, Time: 1.00 sec
Trial 149 - Forward: Error: -2.99 nm, Time: 0.84 sec
Trial 149 - Backward: Error: -17.31 nm, Time: 0.89 sec
Trial 150 - Forward: Error: -3.18 nm, Time: 0.96 sec
Trial 150 - Backward: Error: -75.05 nm, Time: 0.96 sec

Target Range: 74.29 nm
Trial 1 - Forward: Error: -5.85 nm, Time: 0.42 sec
Trial 1 - Backward: Error: 22.59 nm, Time: 0.32 sec
Trial 2 - Forward: Error: 2.37 nm, Time: 0.30 sec
Trial 2 - Backward: Error: -17.61 nm, Time: 0.58 sec
Trial 3 - Forward: Error: -3.90 nm, Time: 0.36 sec
Trial 3 - Backward: Error: -12.56 nm, Time: 0.60 sec
Trial 4 - Forward: Error: 17.30 nm, Time: 0.46 sec
Trial 4 - Backward: Error: 184.76 nm, Time: 0.19 sec
Trial 5 - Forward: Error: 4.56 nm, Time: 0.30 sec
Trial 5 - Backward: Error: -2.79 nm, Time: 0.35 sec
Trial 6 - Forward: Error: -20.49 nm, Time: 0.27 sec
Trial 6 - Backward: Error: -35.22 nm, Time: 0.31 sec
Trial 7 - Forward: Error: -35.19 nm, Time: 0.64 sec
Trial 7 - Backward: Error: 20.85 nm, Time: 0.31 sec
Trial 8 - Forward: Error: -12.10 nm, Time: 0.29 sec
Trial 8 - Backward: Error: 51.41 nm, Time: 0.30 sec
Trial 9 - Forward: Error: -28.61 nm, Time: 0.60 sec
Trial 9 - Backward: Error: -21.29 nm, Time: 0.38 sec
Trial 10 - Forward: Error: -0.51 nm, Time: 0.32 sec
Trial 10 - Backward: Error: -33.92 nm, Time: 0.54 sec
Trial 11 - Forward: Error: -19.77 nm, Time: 0.34 sec
